,start,stop,middle,duration,key,total,bandwidth,compressed,requestor,fulfiller,transfer_type,t_event
26,2024-04-18 11:56:12.047038,2024-04-18 11:56:12.123199,2024-04-18 11:56:12.085119,0.0761609077453613,finalize-0a3c0804-e095-468f-9872-6db6f6e5b69b,112,1470.570707671502,,tcp://10.201.0.229:37485,tcp://10.201.0.212:45449,TransferTypeEnum.INCOMING,2024-04-18 11:56:12.083473
27,2024-04-18 11:56:12.317478,2024-04-18 11:56:12.392933,2024-04-18 11:56:12.042003,0.0754549503326416,finalize-0a3c0804-e095-468f-9872-6db6f6e5b69b,112,1484.3293847023992,3029.0,tcp://10.201.0.212:45449,tcp://10.201.0.229:37485,TransferTypeEnum.OUTGOING,2024-04-18 11:56:12.114799
28,2024-04-18 11:56:12.047038,2024-04-18 11:56:12.123199,2024-04-18 11:56:12.085119,0.0761609077453613,finalize-0a3c0804-e095-468f-9872-6db6f6e5b69b,112,1470.570707671502,,tcp://10.201.0.229:37485,tcp://10.201.0.212:45449,TransferTypeEnum.INCOMING,2024-04-18 11:56:12.295222
29,2024-04-18 11:56:12.317478,2024-04-18 11:56:12.392933,2024-04-18 11:56:12.042003,0.0754549503326416,finalize-0a3c0804-e095-468f-9872-6db6f6e5b69b,112,1484.3293847023992,3029.0,tcp://10.201.0.212:45449,tcp://10.201.0.229:37485,TransferTypeEnum.OUTGOING,2024-04-18 11:56:12.891672
30,2024-04-18 11:56:12.047038,2024-04-18 11:56:12.123199,2024-04-18 11:56:12.085119,0.0761609077453613,finalize-0a389dc3-a875-4659-b8fb-8fc7a218daa2,112,1470.570707671502,,tcp://10.201.0.229:37485,tcp://10.201.0.212:45449,TransferTypeEnum.INCOMING,2024-04-18 11:56:12.083473
31,2024-04-18 11:56:12.317478,2024-04-18 11:56:12.392933,2024-04-18 11:56:12.042003,0.0754549503326416,finalize-0a389dc3-a875-4659-b8fb-8fc7a218daa2,112,1484.3293847023992,3029.0,tcp://10.201.0.212:45449,tcp://10.201.0.229:37485,TransferTypeEnum.OUTGOING,2024-04-18 11:56:12.114799
32,2024-04-18 11:56:12.047038,2024-04-18 11:56:12.123199,2024-04-18 11:56:12.085119,0.0761609077453613,finalize-0a389dc3-a875-4659-b8fb-8fc7a218daa2,112,1470.570707671502,,tcp://10.201.0.229:37485,tcp://10.201.0.212:45449,TransferTypeEnum.INCOMING,2024-04-18 11:56:12.295222
33,2024-04-18 11:56:12.317478,2024-04-18 11:56:12.392933,2024-04-18 11:56:12.042003,0.0754549503326416,finalize-0a389dc3-a875-4659-b8fb-8fc7a218daa2,112,1484.3293847023992,3029.0,tcp://10.201.0.212:45449,tcp://10.201.0.229:37485,TransferTypeEnum.OUTGOING,2024-04-18 11:56:12.891672
34,2024-04-18 11:56:04.645613,2024-04-18 11:56:04.657216,2024-04-18 11:56:04.651414,0.0116024017333984,finalize-0830bcf4-f974-4896-aada-1671660b580c,28,2413.2934407364787,,tcp://10.201.0.229:41793,tcp://10.201.0.212:34699,TransferTypeEnum.INCOMING,2024-04-18 11:56:04.442874
35,2024-04-18 11:56:04.625113,2024-04-18 11:56:04.636425,2024-04-18 11:56:04.433412,0.0113117694854736,finalize-0830bcf4-f974-4896-aada-1671660b580c,28,2475.297966065971,332.0,tcp://10.201.0.212:34699,tcp://10.201.0.229:41793,TransferTypeEnum.OUTGOING,2024-04-18 11:56:04.843901
36,2024-04-18 11:56:04.645613,2024-04-18 11:56:04.657216,2024-04-18 11:56:04.651414,0.0116024017333984,finalize-0830bcf4-f974-4896-aada-1671660b580c,28,2413.2934407364787,,tcp://10.201.0.229:41793,tcp://10.201.0.212:34699,TransferTypeEnum.INCOMING,2024-04-18 11:56:05.168444
37,2024-04-18 11:56:04.645433,2024-04-18 11:56:04.647270,2024-04-18 11:56:04.646352,0.0018365383148193,finalize-f7ff3f3d-dd5a-4878-a6c4-50519c5240cd,0,0.0,,tcp://10.201.0.212:45449,tcp://10.201.0.212:34699,TransferTypeEnum.INCOMING,2024-04-18 11:56:04.430825
38,2024-04-18 11:56:04.645433,2024-04-18 11:56:04.647270,2024-04-18 11:56:04.646352,0.0018365383148193,finalize-f7ff3f3d-dd5a-4878-a6c4-50519c5240cd,0,0.0,,tcp://10.201.0.212:45449,tcp://10.201.0.212:34699,TransferTypeEnum.INCOMING,2024-04-18 11:56:04.442872
39,2024-04-18 11:56:04.629572,2024-04-18 11:56:04.631137,2024-04-18 11:56:04.428273,0.0015652179718017,finalize-f7ff3f3d-dd5a-4878-a6c4-50519c5240cd,0,0.0,345.0,tcp://10.201.0.212:34699,tcp://10.201.0.212:45449,TransferTypeEnum.OUTGOING,2024-04-18 11:56:04.520813
40,2024-04-18 11:56:04.629572,2024-04-18 11:56:04.631137,2024-04-18 11:56:04.428273,0.0015652179718017,finalize-f7ff3f3d-dd5a-4878-a6c4-50519c5240cd,0,0.0,345.0,tcp://10.201.0.212:34699,tcp://10.201.0.212:45449,TransferTypeEnum.OUTGOING,2024-04-18 11:56:04.818167
41,2024-04-18 11:56:08.398361,2024-04-18 11:56:08.402739,2024-04-18 11:56:08.400550,0.0043778419494628,finalize-10c3d0fb-bcb6-4636-9014-7f8c876c6dd1,28,6395.845332752424,,tcp://10.201.0.212:38553,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:08.136251
42,2024-04-18 11:56:08.413510,2024-04-18 11:56:08.417391,2024-04-18 11:56:08.132075,0.0038812160491943,finalize-10c3d0fb-bcb6-4636-9014-7f8c876c6dd1,28,7214.233798144849,332.0,tcp://10.201.0.229:37485,tcp://10.201.0.212:38553,TransferTypeEnum.OUTGOING,2024-04-18 11:56:08.261947
43,2024-04-18 11:56:08.398581,2024-04-18 11:56:08.402986,2024-04-18 11:56:08.400784,0.0044045448303222,finalize-4c9cc5e7-e9ab-486f-a71c-ebb9d2fd764d,0,0.0,,tcp://10.201.0.212:45449,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:08.136254
44,2024-04-18 11:56:08.398581,2024-04-18 11:56:08.402986,2024-04-18 11:56:08.400784,0.0044045448303222,finalize-4c9cc5e7-e9ab-486f-a71c-ebb9d2fd764d,0,0.0,,tcp://10.201.0.212:45449,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:08.228079
45,2024-04-18 11:56:08.397599,2024-04-18 11:56:08.401545,2024-04-18 11:56:08.132159,0.0039465427398681,finalize-4c9cc5e7-e9ab-486f-a71c-ebb9d2fd764d,0,0.0,345.0,tcp://10.201.0.229:37485,tcp://10.201.0.212:45449,TransferTypeEnum.OUTGOING,2024-04-18 11:56:08.743948
46,2024-04-18 11:56:11.911960,2024-04-18 11:56:11.915804,2024-04-18 11:56:11.913882,0.0038435459136962,finalize-33344805-4c67-48a4-b702-e55db1a0102f,28,7284.939643942684,,tcp://10.201.0.212:34699,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:11.603334
47,2024-04-18 11:56:11.911960,2024-04-18 11:56:11.915804,2024-04-18 11:56:11.913882,0.0038435459136962,finalize-33344805-4c67-48a4-b702-e55db1a0102f,28,7284.939643942684,,tcp://10.201.0.212:34699,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:11.653216
48,2024-04-18 11:56:11.904310,2024-04-18 11:56:11.907854,2024-04-18 11:56:11.600979,0.0035438537597656,finalize-33344805-4c67-48a4-b702-e55db1a0102f,28,7901.003229278795,332.0,tcp://10.201.0.229:37485,tcp://10.201.0.212:34699,TransferTypeEnum.OUTGOING,2024-04-18 11:56:11.992066
49,2024-04-18 11:56:12.185969,2024-04-18 11:56:12.343357,2024-04-18 11:56:12.264663,0.1573879718780517,finalize-76b441bd-9cb1-41a7-a8b0-ca93062aee3a,0,0.0,,tcp://10.201.0.212:45449,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:12.035647
50,2024-04-18 11:56:12.073147,2024-04-18 11:56:12.123301,2024-04-18 11:56:12.054583,0.0501544475555419,finalize-76b441bd-9cb1-41a7-a8b0-ca93062aee3a,0,0.0,345.0,tcp://10.201.0.229:37485,tcp://10.201.0.212:45449,TransferTypeEnum.OUTGOING,2024-04-18 11:56:12.095320
51,2024-04-18 11:56:12.073147,2024-04-18 11:56:12.123301,2024-04-18 11:56:12.054583,0.0501544475555419,finalize-76b441bd-9cb1-41a7-a8b0-ca93062aee3a,0,0.0,345.0,tcp://10.201.0.229:37485,tcp://10.201.0.212:45449,TransferTypeEnum.OUTGOING,2024-04-18 11:56:12.543196
52,2024-04-18 11:56:12.185969,2024-04-18 11:56:12.343357,2024-04-18 11:56:12.264663,0.1573879718780517,finalize-76b441bd-9cb1-41a7-a8b0-ca93062aee3a,0,0.0,,tcp://10.201.0.212:45449,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:13.203915
53,2024-04-18 11:56:09.292393,2024-04-18 11:56:09.293402,2024-04-18 11:56:09.292898,0.001009464263916,finalize-e75e5c55-d7ae-4b49-9da4-ad3d07c2ea97,0,0.0,,tcp://10.201.0.212:45449,tcp://10.201.0.212:38577,TransferTypeEnum.INCOMING,2024-04-18 11:56:09.035416
54,2024-04-18 11:56:09.292393,2024-04-18 11:56:09.293402,2024-04-18 11:56:09.292898,0.001009464263916,finalize-e75e5c55-d7ae-4b49-9da4-ad3d07c2ea97,0,0.0,,tcp://10.201.0.212:45449,tcp://10.201.0.212:38577,TransferTypeEnum.INCOMING,2024-04-18 11:56:09.057687
55,2024-04-18 11:56:09.226221,2024-04-18 11:56:09.226944,2024-04-18 11:56:09.033286,0.001,finalize-e75e5c55-d7ae-4b49-9da4-ad3d07c2ea97,0,0.0,345.0,tcp://10.201.0.212:38577,tcp://10.201.0.212:45449,TransferTypeEnum.OUTGOING,2024-04-18 11:56:09.553071
56,2024-04-18 11:56:09.358553,2024-04-18 11:56:09.428957,2024-04-18 11:56:09.393755,0.070404052734375,finalize-57e3704d-0faa-4d1f-bc4f-14cb4a3fe285,0,0.0,,tcp://10.201.0.212:38553,tcp://10.201.0.212:38577,TransferTypeEnum.INCOMING,2024-04-18 11:56:09.269009
57,2024-04-18 11:56:09.358553,2024-04-18 11:56:09.428957,2024-04-18 11:56:09.393755,0.070404052734375,finalize-57e3704d-0faa-4d1f-bc4f-14cb4a3fe285,0,0.0,,tcp://10.201.0.212:38553,tcp://10.201.0.212:38577,TransferTypeEnum.INCOMING,2024-04-18 11:56:09.762773
58,2024-04-18 11:56:09.390678,2024-04-18 11:56:09.446032,2024-04-18 11:56:09.236053,0.0553541183471679,finalize-57e3704d-0faa-4d1f-bc4f-14cb4a3fe285,0,0.0,345.0,tcp://10.201.0.212:38577,tcp://10.201.0.212:38553,TransferTypeEnum.OUTGOING,2024-04-18 11:56:10.190126
59,2024-04-18 11:56:04.143981,2024-04-18 11:56:04.235315,2024-04-18 11:56:04.189648,0.091334581375122,finalize-a52c95be-0efc-4589-8ea9-a538123e762f,28,306.5651539475573,,tcp://10.201.0.229:41793,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:04.160568
60,2024-04-18 11:56:04.262339,2024-04-18 11:56:04.477598,2024-04-18 11:56:04.173214,0.2152597904205322,finalize-a52c95be-0efc-4589-8ea9-a538123e762f,28,130.07538447054654,332.0,tcp://10.201.0.229:37485,tcp://10.201.0.229:41793,TransferTypeEnum.OUTGOING,2024-04-18 11:56:04.290476
61,2024-04-18 11:56:04.143981,2024-04-18 11:56:04.235315,2024-04-18 11:56:04.189648,0.091334581375122,finalize-a52c95be-0efc-4589-8ea9-a538123e762f,28,306.5651539475573,,tcp://10.201.0.229:41793,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:04.676049
62,2024-04-18 11:56:04.262339,2024-04-18 11:56:04.477598,2024-04-18 11:56:04.173214,0.2152597904205322,finalize-a52c95be-0efc-4589-8ea9-a538123e762f,28,130.07538447054654,332.0,tcp://10.201.0.229:37485,tcp://10.201.0.229:41793,TransferTypeEnum.OUTGOING,2024-04-18 11:56:04.843891
63,2024-04-18 11:56:04.127269,2024-04-18 11:56:04.180687,2024-04-18 11:56:04.153978,0.0534179210662841,finalize-c947eb60-7a9e-475b-8b8f-1f797447a8a4,0,0.0,,tcp://10.201.0.212:34699,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:04.106730
64,2024-04-18 11:56:04.127269,2024-04-18 11:56:04.180687,2024-04-18 11:56:04.153978,0.0534179210662841,finalize-c947eb60-7a9e-475b-8b8f-1f797447a8a4,0,0.0,,tcp://10.201.0.212:34699,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:04.160565
65,2024-04-18 11:56:04.267358,2024-04-18 11:56:04.320479,2024-04-18 11:56:04.075572,0.0531213283538818,finalize-c947eb60-7a9e-475b-8b8f-1f797447a8a4,0,0.0,345.0,tcp://10.201.0.229:37485,tcp://10.201.0.212:34699,TransferTypeEnum.OUTGOING,2024-04-18 11:56:04.337776
66,2024-04-18 11:56:04.267358,2024-04-18 11:56:04.320479,2024-04-18 11:56:04.075572,0.0531213283538818,finalize-c947eb60-7a9e-475b-8b8f-1f797447a8a4,0,0.0,345.0,tcp://10.201.0.229:37485,tcp://10.201.0.212:34699,TransferTypeEnum.OUTGOING,2024-04-18 11:56:05.074077
67,2024-04-18 11:56:10.212592,2024-04-18 11:56:10.318129,2024-04-18 11:56:10.265360,0.1055366992950439,finalize-c95f3b3a-5e71-4c4a-bee6-28cdd9878512,56,530.6211050190556,,tcp://10.201.0.212:34699,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:10.124075
68,2024-04-18 11:56:10.212592,2024-04-18 11:56:10.318129,2024-04-18 11:56:10.265360,0.1055366992950439,finalize-c95f3b3a-5e71-4c4a-bee6-28cdd9878512,56,530.6211050190556,,tcp://10.201.0.212:34699,tcp://10.201.0.229:37485,TransferTypeEnum.INCOMING,2024-04-18 11:56:10.143700
